DEBUG 2025-09-21 21:39:04,664 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/views/decorators/__init__.py first seen with mtime 1758312778.3641248
DEBUG 2025-09-21 21:39:04,671 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/checks/database.py first seen with mtime 1758312765.1713948
DEBUG 2025-09-21 21:39:04,676 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1758312777.8032544
DEBUG 2025-09-21 21:39:04,683 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/management/__init__.py first seen with mtime 1758312766.3841484
DEBUG 2025-09-21 21:39:04,690 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/views/generic/__init__.py first seen with mtime 1758312778.5884855
DEBUG 2025-09-21 21:39:04,695 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1758312682.5388322
DEBUG 2025-09-21 21:39:04,705 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/db/backends/base/base.py first seen with mtime 1758312767.7201927
DEBUG 2025-09-21 21:39:04,711 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1758312765.4261138
DEBUG 2025-09-21 21:39:04,717 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/urllib3/util/retry.py first seen with mtime 1758480569.332446
DEBUG 2025-09-21 21:39:04,718 autoreload File /usr/lib/python3.10/asyncio/queues.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,722 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/drf_yasg/inspectors/__init__.py first seen with mtime 1758315266.9083998
DEBUG 2025-09-21 21:39:04,724 autoreload File /usr/lib/python3.10/email/generator.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,725 autoreload File /usr/lib/python3.10/uuid.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,735 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1758312662.767171
DEBUG 2025-09-21 21:39:04,739 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/forms/utils.py first seen with mtime 1758312771.2911234
